Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Everyday,Garam Masala,Chicken Tikka Masala,5 oz portion,Chicken Tikka Masala,190,"Chicken, Tomato puree (tomato puree, water, tomato paste, citric acid), Fat Free Plain Yogurt, Whipping Cream, Water, Onions, Canola Oil, Garlic, Lime, Hot Chili Sauce, Garam Masala, Ginger, Cilantro, Cumin, Turmeric, Coriander","Calories: 190 kcal, Protein (g): 14 g, Total Carbohydrates (g): 8 g, Sugar (g): 4 g, Total Fat (g): 12 g, Saturated Fat (g): 5 g, Cholesterol (mg): 80 mg, Dietary Fiber (g): 1 g, Sodium (mg): 105 mg, Potassium (mg): 380+ mg, Calcium (mg): 60+ mg, Iron (mg): 1.7+ mg, Trans Fat (g): - g, Vitamin D (IU): 20+ IU, Vitamin C (mg): 7+ mg, Calories From Fat: 100 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Onion, Tomato, Beef, Garlic, Poultry, Sulphites, Gluten*, Good Source of Protein"
Everyday,Garam Masala,Delhi Style Chicken Curry,8 oz meat,Delhi Style Chicken Curry,370,"Chicken, Water, Onions, Diced tomatoes (tomatoes, tomato puree, less than 2% of: salt, citric acid, calcium chloride), Canola Oil, Lemon Juice, Chicken Base, Ginger, Salt, Cloves, Cumin, Cardamom, Turmeric, Coriander, Garlic, Cilantro, Black Pepper, Cinnamon, Cayenne Pepper","Calories: 370 kcal, Protein (g): 27 g, Total Carbohydrates (g): 6 g, Sugar (g): 2+ g, Total Fat (g): 26 g, Saturated Fat (g): 4.5 g, Cholesterol (mg): 85 mg, Dietary Fiber (g): 1 g, Sodium (mg): 360 mg, Potassium (mg): 370 mg, Calcium (mg): 40 mg, Iron (mg): 2.4 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 7 mg, Calories From Fat: 230 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Soy, Onion, Tomato, Garlic, Celery*, Poultry, Avoiding Gluten, Good Source of Protein"
Everyday,Garam Masala,Palak Paneer,1 cup,Creamy spiced spinach and paneer cheese,250,"Spinach, Paneer, Tomatoes, Onions, Whipping Cream, Garlic, Ginger, Canola Oil, Salt, Jalapeno, Garam Masala, Turmeric, Cumin, Coriander","Calories: 250 kcal, Protein (g): 12 g, Total Carbohydrates (g): 10 g, Sugar (g): 5 g, Total Fat (g): 21 g, Saturated Fat (g): 12 g, Cholesterol (mg): 55 mg, Dietary Fiber (g): 3 g, Sodium (mg): 580 mg, Potassium (mg): 620+ mg, Calcium (mg): 380+ mg, Iron (mg): 2.8+ mg, Trans Fat (g): - g, Vitamin D (IU): 10+ IU, Vitamin C (mg): 32+ mg, Calories From Fat: 190 kcal, Vitamin A (RE): 80+ RE, Saturated Fat + Trans Fat (g): 10+ g","Milk, Vegetarian, Onion, Tomato, Garlic, Gluten*, Good Source of Protein"
Everyday,Garam Masala,Chana Masala (Spicy Chickpeas),1 cup,Classic Indian vegetarian dish,320,"Garbanzo Beans, Onions, Tomatoes, Canola Oil, Cilantro, Coriander, Garlic, Tamarind Paste, Salt, Cumin, Ginger, Black Pepper, Cardamom, Cayenne Pepper, Bay Leaf, Ginger (Ginger and Sulfur Dioxide), Cinnamon, Cloves","Calories: 320 kcal, Protein (g): 15 g, Total Carbohydrates (g): 49 g, Sugar (g): 10+ g, Total Fat (g): 8 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 13 g, Sodium (mg): 250 mg, Potassium (mg): 650 mg, Calcium (mg): 110 mg, Iron (mg): 5.8 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 15 mg, Calories From Fat: 70 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Onion, Tomato, Vegan, Garlic, Sulphites, Avoiding Gluten, Good Source of Protein"
Everyday,Garam Masala,Dal Makhani,1 cup,"Creamy lentils with ginger, garlic, and spices",360,"Water, Waters, Whipping Cream, Black Lentils, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Red Beans, Onions, Unsalted Butter, Garlic, Ginger, Salt, Garam Masala, Turmeric, Cumin, Chili Powder","Calories: 360 kcal, Protein (g): 11 g, Total Carbohydrates (g): 29 g, Sugar (g): 3 g, Total Fat (g): 23 g, Saturated Fat (g): 14 g, Cholesterol (mg): 65 mg, Dietary Fiber (g): 6 g, Sodium (mg): 570 mg, Potassium (mg): 350+ mg, Calcium (mg): 60+ mg, Iron (mg): 3.1+ mg, Trans Fat (g): - g, Vitamin D (IU): 20+ IU, Vitamin C (mg): 6+ mg, Calories From Fat: 210 kcal, Vitamin A (RE): 5+ RE, Saturated Fat + Trans Fat (g): 15+ g","Milk, Vegetarian, Onion, Tomato, Garlic, Gluten*, Good Source of Protein"
Everyday,Garam Masala,Lemon Brown Basmati Rice,1/2 cup,A simple whole grain option ,130,"Water, Basmati Rice, Lemon Juice, Shallots, Lemon, Canola Oil, Salt","Calories: 130 kcal, Protein (g): 2 g, Total Carbohydrates (g): 25 g, Sugar (g): less than 1 gram g, Total Fat (g): 2 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 40 mg, Potassium (mg): 100 mg, Calcium (mg): 10 mg, Iron (mg): 0.4 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 5 mg, Calories From Fat: 20 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Onion, Vegan, Avoiding Gluten"
Everyday,Garam Masala,Vegetable Samosas,4 each,Delicious pastry stuffed with potatoes peas and herbs,300,Small Vegetable Samosa,"Calories: 300 kcal, Protein (g): 8 g, Total Carbohydrates (g): 49 g, Sugar (g): 2 g, Total Fat (g): 8 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 410 mg, Potassium (mg): 300 mg, Calcium (mg): 20 mg, Iron (mg): 3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 7 mg, Calories From Fat: 70 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Gluten, Wheat, Vegetarian, Vegan, Good Source of Protein"
Everyday,Garam Masala,Cilantro Mint Chutney,2 tbsp,"Slightly sweet, slightly spicy",20,"Lemon Juice, Cilantro, Onions, Mint, Sugar, Jalapeno, Salt, Cumin","Calories: 20 kcal, Protein (g): 0 g, Total Carbohydrates (g): 4 g, Sugar (g): 3+ g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 85 mg, Potassium (mg): 80 mg, Calcium (mg): 10 mg, Iron (mg): 0.5 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 9 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Onion, Avoiding Gluten"
Everyday,Garam Masala,Roti Dough,2 ounce,Roti Dough,110,"Water, High Gluten Flour, Whole Wheat Flour, Canola Oil, Active Yeast, Salt","Calories: 110 kcal, Protein (g): 4 g, Total Carbohydrates (g): 22 g, Sugar (g): 0 g, Total Fat (g): 1.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0+ mg, Dietary Fiber (g): 2 g, Sodium (mg): 120 mg, Potassium (mg): 80 mg, Calcium (mg): 10+ mg, Iron (mg): 1.2 mg, Trans Fat (g): - g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 0+ mg, Calories From Fat: 15 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Gluten, Wheat, Vegetarian, Vegan"
Everyday,Garam Masala,Carrot Halwa,1/2 cup,Creamy carrot pudding with cardamom,150,"Whole Milk, Carrots, Sugar, Butter, Cardamom","Calories: 150 kcal, Protein (g): 3 g, Total Carbohydrates (g): 23 g, Sugar (g): 20+ g, Total Fat (g): 6 g, Saturated Fat (g): 4 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 2 g, Sodium (mg): 65 mg, Potassium (mg): 260 mg, Calcium (mg): 90 mg, Iron (mg): 0.2 mg, Trans Fat (g): - g, Vitamin D (IU): 30 IU, Vitamin C (mg): 3 mg, Calories From Fat: 60 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 5+ g","Milk, Vegetarian"
Everyday,Garam Masala,Honey Glazed Cake Donut,2 ounce,Soft cake donut covered in sweet honey glaze.,240,"Cake Donut, Donut Glaze","Calories: 240 kcal, Protein (g): 3 g, Total Carbohydrates (g): 28 g, Sugar (g): 13 g, Total Fat (g): 14 g, Saturated Fat (g): 6 g, Cholesterol (mg): 10 mg, Dietary Fiber (g): less than 1 gram g, Sodium (mg): 340 mg, Potassium (mg): 50 mg, Calcium (mg): 10 mg, Iron (mg): 1.3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 120 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 5 g","Gluten, Milk, Wheat, Egg, Soy"
