Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Dressings,Fat Free Honey Mustard Dressing,1 packet,Fat Free Honey Mustard Dressing,90,N/A,"Calories: 90.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 23.0 , Dietary Fiber: 1.0 , Sugars: 19.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Condiments,Ketchup,1 packet,Numerous Options for a Balanced Meal,10,N/A,"Calories: 10.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 95.0 , Potassium: None , Total Carbohydrates: 3.0 , Dietary Fiber: 0.0 , Sugars: 2.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Condiments,Apple Jelly,1 packet,Apple Jelly,35,N/A,"Calories: 35.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: 0.0 , Potassium: None , Total Carbohydrates: 9.0 , Dietary Fiber: 0.0 , Sugars: 6.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Condiments,Light Mayonnaise,1 packet,Light Mayonnaise,40,N/A,"Calories: 40.0 , Fat Calories: 36.0 , Total Fat: 4.0 , Saturated Fat: 0.5 , Trans Fat: 0.0 , Cholesterol: 5.0 , Sodium: 85.0 , Potassium: None , Total Carbohydrates: 1.0 , Dietary Fiber: 0.0 , Sugars: 0.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Condiments,Mixed Fruit Jelly,1 packet,Mixed Fruit Jelly,35,N/A,"Calories: 35.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 9.0 , Dietary Fiber: 0.0 , Sugars: 6.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Condiments,Mayonnaise,1 Tbsp,Made with eggs and canola oil,,N/A,"Calories: None , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Drinks,Freshly-Brewed Iced Tea Unsweetened,Medium,Freshly-brewed each day from a blend of tea leaves. Available unsweetened.,0,N/A,"Calories: 0.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 0.0 , Dietary Fiber: 0.0 , Sugars: 0.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Drinks,Chick-fil-A® Lemonade,Medium,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water.",220,N/A,"Calories: 220.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 58.0 , Dietary Fiber: 0.0 , Sugars: 55.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Drinks,Chick-fil-A® Diet Lemonade,Medium,"Classic lemonade using three simple ingredients: real lemon juice—not from concentrate, cane sugar, and water. Diet Lemonade is sweetened with Splenda® No Calorie Sweetener.",50,N/A,"Calories: 50.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 14.0 , Dietary Fiber: 0.0 , Sugars: 2.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Drinks,DASANI® Bottled Water,1 bottle,"DASANI® combines the process of reverse osmosis filtration with a proprietary blend of minerals to create fresh, clean, and premium tasting water that is pure and delicious.",0,N/A,"Calories: 0.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 0.0 , Dietary Fiber: 0.0 , Sugars: 0.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Entrees,Chick-fil-A® Chicken Sandwich,1 each,"A boneless breast of chicken seasoned to perfection, hand-breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips.",440,N/A,"Calories: 440.0 , Fat Calories: 153.0 , Total Fat: 17.0 , Saturated Fat: 4.0 , Trans Fat: 0.0 , Cholesterol: 70.0 , Sodium: None , Potassium: None , Total Carbohydrates: 41.0 , Dietary Fiber: 1.0 , Sugars: 6.0 , Protein: 29.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Entrees,Spicy Chicken Sandwich,1 each,"A boneless breast of chicken seasoned with a spicy blend of peppers, hand-breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips.",460,N/A,"Calories: 460.0 , Fat Calories: 171.0 , Total Fat: 19.0 , Saturated Fat: 4.0 , Trans Fat: 0.0 , Cholesterol: 65.0 , Sodium: None , Potassium: None , Total Carbohydrates: 45.0 , Dietary Fiber: 2.0 , Sugars: 6.0 , Protein: 28.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Entrees,Spicy Chicken Sandwich Deluxe,1 each,"A boneless breast of chicken seasoned with a spicy blend of peppers, hand-breaded, pressure cooked in 100% refined peanut oil and served on a toasted, buttered bun with dill pickle chips, Green Leaf lettuce, tomato and Pepper Jack Cheese.",550,N/A,"Calories: 550.0 , Fat Calories: 225.0 , Total Fat: 25.0 , Saturated Fat: 8.0 , Trans Fat: 0.0 , Cholesterol: 85.0 , Sodium: None , Potassium: None , Total Carbohydrates: 47.0 , Dietary Fiber: 3.0 , Sugars: 7.0 , Protein: 33.0 , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Dipping Sauces,Barbecue Sauce,1 packet,Barbecue Sauce,45,N/A,"Calories: 45.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 11.0 , Dietary Fiber: 0.0 , Sugars: 9.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 20.0 , Iron: 0.36 ",
Every Day,Dipping Sauces,Zesty Buffalo Sauce,1 packet,Buffalo Sauce,25,N/A,"Calories: 25.0 , Fat Calories: 0.0 , Total Fat: 2.5 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 5.0 , Sodium: None , Potassium: None , Total Carbohydrates: 1.0 , Dietary Fiber: 0.0 , Sugars: 0.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Dipping Sauces,Garden Herb Ranch Sauce,1 packet,Garden Herb Ranch Sauce,140,N/A,"Calories: 140.0 , Fat Calories: 108.0 , Total Fat: 14.0 , Saturated Fat: 2.5 , Trans Fat: 0.0 , Cholesterol: 10.0 , Sodium: None , Potassium: None , Total Carbohydrates: 1.0 , Dietary Fiber: 0.0 , Sugars: 1.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Dipping Sauces,Chick-fil-A® Sauce,1 packet,Chick-Fil-A Sauce,140,N/A,"Calories: 140.0 , Fat Calories: 117.0 , Total Fat: 13.0 , Saturated Fat: 2.0 , Trans Fat: 0.0 , Cholesterol: 10.0 , Sodium: None , Potassium: None , Total Carbohydrates: 6.0 , Dietary Fiber: 0.0 , Sugars: 6.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Dipping Sauces,Honey Mustard Sauce,1 packet,Honey Mustard Sauce,45,N/A,"Calories: 45.0 , Fat Calories: 0.0 , Total Fat: 0.0 , Saturated Fat: 0.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 11.0 , Dietary Fiber: 0.0 , Sugars: 10.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
Every Day,Dipping Sauces,Polynesian Sauce,1 packet,Polynesian Sauce,110,N/A,"Calories: 110.0 , Fat Calories: 54.0 , Total Fat: 6.0 , Saturated Fat: 1.0 , Trans Fat: 0.0 , Cholesterol: 0.0 , Sodium: None , Potassium: None , Total Carbohydrates: 14.0 , Dietary Fiber: 0.0 , Sugars: 13.0 , Protein: 0.0 , Vitamin A: None , Vitamin C: 0.0 , Calcium: 0.0 , Iron: 0.0 ",
