Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Everyday,Fruit & Vegetable Bar,Vegetable Crudite,4 ounce,Raw veggies to accompany sandwiches and snacks,25,"Carrots, Celery, Cucumber","Calories: 25 kcal, Protein (g): less than 1 gram g, Total Carbohydrates (g): 6 g, Sugar (g): 3 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 2 g, Sodium (mg): 55 mg, Potassium (mg): 270 mg, Calcium (mg): 30 mg, Iron (mg): 0.3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 5 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Celery, Avoiding Gluten"
Everyday,Fruit & Vegetable Bar,Red Pepper Sticks,1/2 cup,Sweet and crunchy,20,Red Bell Peppers,"Calories: 20 kcal, Protein (g): less than 1 gram g, Total Carbohydrates (g): 4 g, Sugar (g): 3 g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 0 mg, Potassium (mg): 150 mg, Calcium (mg): 0 mg, Iron (mg): 0.3 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 89 mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Vegetarian, Vegan, Avoiding Gluten"
Everyday,Fruit & Vegetable Bar,Baked Pita Triangles,4 each,Baked Pita Triangles,130,"White Pita, Oil","Calories: 130 kcal, Protein (g): 4 g, Total Carbohydrates (g): 22 g, Sugar (g): 1 g, Total Fat (g): 3.5 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 1 g, Sodium (mg): 250 mg, Potassium (mg): 0 mg, Calcium (mg): 30 mg, Iron (mg): 1.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0+ IU, Vitamin C (mg): 1 mg, Calories From Fat: 30 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Gluten, Milk, Wheat, Soy, Vegetarian, Sulphites"
Everyday,Fruit & Vegetable Bar,Tzatziki Sauce,2 tbsp,"Rich yogurt, mint and cucumber sauce",15,"Low Fat Yogurt, Cucumber, Lemon Juice, Onions, Mint, Garlic, Salt","Calories: 15 kcal, Protein (g): 1 g, Total Carbohydrates (g): 2 g, Sugar (g): 1+ g, Total Fat (g): 0 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 0 g, Sodium (mg): 70 mg, Potassium (mg): 70 mg, Calcium (mg): 40 mg, Iron (mg): 0.1 mg, Trans Fat (g): 0 g, Vitamin D (IU): 10 IU, Vitamin C (mg): 1+ mg, Calories From Fat: 0 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0 g","Milk, Vegetarian, Onion, Garlic, Avoiding Gluten"
Everyday,Fruit & Vegetable Bar,Hummus,4 ounce,"A classic garbanzo bean hummus with olive oil, salt, lemon juice, and tahini",230,"Chickpeas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium Edta), Water, Olive Oil, Lemon Juice, Sesame Tahini Paste, Salt, Black Pepper","Calories: 230 kcal, Protein (g): 6 g, Total Carbohydrates (g): 16 g, Sugar (g): 3 g, Total Fat (g): 17 g, Saturated Fat (g): 2 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 5 g, Sodium (mg): 540 mg, Potassium (mg): 180 mg, Calcium (mg): 60 mg, Iron (mg): 1.9 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 1 mg, Calories From Fat: 150 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Vegan, Sulphites, Sesame, Avoiding Gluten"
Everyday,Fruit & Vegetable Bar,Roasted Red Pepper Hummus,4 ounce,Roasted red peppers make this hummus taste even better,50,"Carrots, Celery, Cucumber, Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Red Bell Peppers, Water, Lemon Juice, Sesame Tahini Paste, Canola Oil, Garlic, Cumin, Salt, Paprika (Paprika and Silicon Dioxide)","Calories: 50 kcal, Protein (g): 2 g, Total Carbohydrates (g): 8 g, Sugar (g): 3 g, Total Fat (g): 1.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 0 mg, Dietary Fiber (g): 3 g, Sodium (mg): 80 mg, Potassium (mg): 250 mg, Calcium (mg): 30 mg, Iron (mg): 0.7 mg, Trans Fat (g): - g, Vitamin D (IU): 0 IU, Vitamin C (mg): 16 mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 0+ g","Vegetarian, Vegan, Garlic, How Good Friendly, Sesame, Celery, Avoiding Gluten"
Everyday,Sandwich Special,The Turkey Rachel,1 sandwich,The Turkey Rachel,630,"Turkey, Sourdough Bread, Swiss Cheese, Cabbage, Canola Oil, Honey Mustard Dressing, Ketchup, Cabbage, Carrots, Mayonnaise, Sugar, Water, Onions, Green Onions, Lemon Juice, Worcestershire Sauce with Anchovies, Cider Vinegar (apple juice, water), Thyme, Sage, Cajun Seasoning, Black Pepper, Mustard, Salt, Rosemary, Paprika (Paprika and Silicon Dioxide), Celery Seed","Calories: 630 kcal, Protein (g): 50 g, Total Carbohydrates (g): 54 g, Sugar (g): 7+ g, Total Fat (g): 24 g, Saturated Fat (g): 6 g, Cholesterol (mg): 110 mg, Dietary Fiber (g): 3 g, Sodium (mg): 920 mg, Potassium (mg): 500+ mg, Calcium (mg): 260 mg, Iron (mg): 3.5 mg, Trans Fat (g): - g, Vitamin D (IU): 15+ IU, Vitamin C (mg): 7+ mg, Calories From Fat: 220 kcal, Vitamin A (RE): 0+ RE, Saturated Fat + Trans Fat (g): 5+ g","Gluten, Milk, Wheat, Egg, Soy, Onion, Tomato, Garlic, Poultry, Mustard, Fish, Celery, Good Source of Protein"
Everyday,Sandwich Bar,Sliced Deli Roast Beef,1 ounce,Sliced Deli Roast Beef,30,Beef,"Calories: 30 kcal, Protein (g): 5 g, Total Carbohydrates (g): 0 g, Sugar (g): 0 g, Total Fat (g): 1 g, Saturated Fat (g): 0.5 g, Cholesterol (mg): 20 mg, Dietary Fiber (g): 0 g, Sodium (mg): 190 mg, Potassium (mg): 50 mg, Calcium (mg): 0 mg, Iron (mg): 0.5 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): - mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Onion, Beef, Garlic, Mustard*, Celery*, Avoiding Gluten"
Everyday,Sandwich Bar,Thinly Sliced Deli Turkey Breast,1 ounce,Thinly Sliced Deli Turkey Breast,30,Turkey,"Calories: 30 kcal, Protein (g): 4 g, Total Carbohydrates (g): less than 1 gram g, Sugar (g): 0 g, Total Fat (g): 1 g, Saturated Fat (g): 0 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 0 g, Sodium (mg): 260 mg, Potassium (mg): 40 mg, Calcium (mg): 0 mg, Iron (mg): 0.2 mg, Trans Fat (g): 0 g, Vitamin D (IU): 0 IU, Vitamin C (mg): 0 mg, Calories From Fat: 10 kcal, Vitamin A (RE): 0 RE, Saturated Fat + Trans Fat (g): 0 g","Poultry, Avoiding Gluten"
Everyday,Sandwich Bar,Sliced Black Forest Ham,1 ounce,Sliced Black Forest Ham,45,Ham,"Calories: 45 kcal, Protein (g): 5 g, Total Carbohydrates (g): 1 g, Sugar (g): 0 g, Total Fat (g): 2.5 g, Saturated Fat (g): 0 g, Cholesterol (mg): 15 mg, Dietary Fiber (g): 0 g, Sodium (mg): 230 mg, Potassium (mg): 80 mg, Calcium (mg): 10 mg, Iron (mg): 0.3 mg, Trans Fat (g): - g, Vitamin D (IU): 10 IU, Vitamin C (mg): 1 mg, Calories From Fat: 20 kcal, Vitamin A (RE): - RE, Saturated Fat + Trans Fat (g): 0+ g","Pork, Gluten*"
